序号,名称,网址后缀
1,['[PC][小白兔电商][Bunny e-shop][文字AVG][落叶岛项目组][压缩包][简体中文]'],['/torrents/610904/']
2,['[PC][师傅][SIFU][动作游戏][Sloclap][镜像][英文][CODEX]'],['/torrents/610891/']
3,['[PC][战神4][God Of War][角色扮演][索尼][压缩包][解压即玩][繁体中文/英文]'],['/torrents/610835/']
4,"[""[PC][刺客信条英灵殿][Assassin's Creed Valhalla][动作角色扮演游戏][育碧][安装包][Assassin's Creed: Valhalla - GOLD EDITION][简体中文/其他][2020-11-10]""]",['/torrents/610811/']
5,['[XBOX360][侠盗猎车手5|侠盗飞车5][GTA5][动作角色扮演游戏][RSTAR GAMES][压缩包][繁体中文/英文]'],['/torrents/610687/']
6,['[PC][艾尔登法环][Elden Ring][角色扮演][FromSoftware Inc.][镜像][简体中文/英文][2022年2月25日发行]'],['/torrents/610681/']
7,['[PC][群英荟萃2.0正式版][战略游戏][压缩包][简体中文/繁体中文]'],['/torrents/610639/']
8,['[PC][使命召唤5][Call.of.Duty.5-World.at.War][第一人称射击游戏][Activision][硬盘版][解压即玩][简体中文][Gamersky破解]'],['/torrents/610591/']
9,['[PC][极限竞速:地平线4][Forza.Horizon.4][赛车游戏][Playground Games][硬盘版][解压即玩][简体中文/英文][v1.473.944.0]'],['/torrents/610590/']
10,"[""[PC][帝国时代4/帝国时代 IV][Age of Empires IV][即时战略游戏][Relic Entertainment, World's Edge][安装包][FitGirl破解][简体中文][多语言]""]",['/torrents/610588/']
11,['[PC][使命召唤:二战/使命召唤14][Call of Duty: WWII][第一人称射击游戏][Sledgehammer Games&Raven Software][压缩包][解压即玩][简体中文]'],['/torrents/610587/']
12,['[PC][钢铁雄心4][Heart Of Iron 4][战略游戏][Paradox][安装包][1.11][英文]'],['/torrents/610477/']
13,['[PC][BABA IS YOU][Hempuli Oy][压缩包][2021.11.28][英文]'],['/torrents/610465/']
14,['[PC][极限竞速:地平线5][Forza Horizon 5][赛车游戏][Playground Games][硬盘版][1.410][简体中文]'],['/torrents/610464/']
15,['[PC][仙剑奇侠传七][Sword and Fairy 7][动作角色扮演游戏][北京软星][镜像][CODEX破解][简体中文]'],['/torrents/610383/']
16,['[PC][戴森球计划][Dyson Sphere Program][模拟游戏][重庆柚子猫游戏][压缩包][0.8.19.7757][简体中文]'],['/torrents/610203/']
17,['[PC][文明6][Sid Meier’s Civilization VI][战略游戏][Firaxis][镜像][简体中文]'],['/torrents/610202/']
18,"['[PC][cs交大版][cs BJTU][射击游戏][Valve,Turtle Rock Studios, BJTU][硬盘版][交大版本][简体中文]']",['/torrents/610062/']
