序号,名称,网址后缀
1,['[日本][2021][驾驶我的车/在车上(台)][Drive.My.Car.2021.1080p.BluRay.x264.DTS-WiKi][剧情][Blu-Ray][1080P][附件中英字幕]'],['/torrents/610767/']
2,['[美国][2021][健听女孩/乐动心旋律(台)/贝利叶一家][CODA.2021.1080p.BluRay.x264.DTS-WiKi][剧情/音乐][Blu-Ray][1080P][自带中英字幕]'],['/torrents/610764/']
3,['[美国][2021][蜘蛛侠:英雄无归/蜘蛛侠:不战无归(港)/蜘蛛人:无家日(台)/蜘蛛侠3:无家可归][Spider-Man No Way Home.2022.1080p.Bluray.DTS-HD.MA.5.1.X264-EVO][汤姆?赫兰德/赞达亚/本尼迪克特?康伯巴奇][动作/科幻/冒险][Blu-Ray][1080P][附件中英字幕]'],['/torrents/610741/']
4,"[""[美国][2021][不要抬头/别往天上看/千万别抬头][Don't Look Up.2021.1080p.WEB-DL.H264.AC3-HDHWEB][莱昂纳多?迪卡普里奥/詹妮弗?劳伦斯/蒂莫西?柴勒梅德/克里斯?埃文斯/凯特?布兰切特/梅丽尔?斯特里普][剧情/喜剧][WEB-DL][1080P][自带中文字幕]""]",['/torrents/610538/']
5,['[美国][2022][刺猬索尼克2/超音鼠大电影2(港)/音速小子2(台)][Sonic the Hedgehog 2 2022 2160p WEB-DL DDP 5.1 Atmos HDR H.265-CMRG][喜剧/动作/科幻/动画/冒险][WEB-DL][4K][自带中文字幕]'],['/torrents/610903/']
6,['[美国][2015][豆瓣.Top.250][Bluray.1080p.x265.AAC.GREENOTEA][剧情/喜剧/动作/恐怖/爱情/犯罪/科幻/奇幻/战争][Blu-Ray][1080P][自带中文字幕]'],['/torrents/610902/']
7,['[美国][2022][瞬息全宇宙 / 奇异女侠玩救宇宙 (港)/ 妈的多重宇宙 (台)][Everything Everywhere All At Once 2022 1080p WEB-DL DDP5.1 H.264-EVO][导演:丹?关 / 丹尼尔?施纳特 | 主演:杨紫琼 斯蒂芬妮?许 关继威][科幻][REMUX][1080P]'],['/torrents/610901/']
8,['[法国][2021][平行母亲][Parallel.Mothers.2021.USA.BluRay.1080p.x264.DTS-CMCT][西班牙/法国][剧情/家庭][Blu-Ray][1080P][自带中英字幕]'],['/torrents/610899/']
9,['[美国][2022][暗夜博士:莫比亚斯][Morbius.2022.1080p.WEB-DL.x264.AAC-EVO][动作/恐怖/惊悚/科幻/冒险][WEB-DL][1080P][自带英文字幕]'],['/torrents/610894/']
10,['[美国][2022][神奇动物:邓布利多之谜/怪兽与邓不利多的秘密(港/台)/神奇动物在哪里3:邓布利多之谜/神奇生物在哪里3][Fantastic.Beasts.The.Secrets.of.Dumbledore.2022.1080p.HC.WEB-DL.AAC5.1.H.264-HAMR][韩版硬字幕][奇幻/冒险][WEB-DL][1080P][附件中英字幕]'],['/torrents/610890/']
11,['[美国][2022][支离破碎][Shattered.2022.1080p.BluRay.x264.DTS-HD.MA.5.1-MT][动作/惊悚][Blu-Ray][1080P][自带英文字幕]'],['/torrents/610887/']
12,['[美国][2022][坏蛋联盟][The.Bad.Guys.2022.1080p.WEBRip.x264-RARBG][山姆?洛克威尔 / 马克?马龙 / 奥卡菲娜][喜剧/动画/冒险][WEBRip][1080P][自带中英字幕]'],['/torrents/610875/']
13,['[大陆][2022][四海][Only.Fools.Rush.In.2022.WEB-DL.1080p.H264.AAC2.0-Bilibili][刘昊然/沈腾][喜剧][WEB-DL][1080P][无需字幕]'],['/torrents/610858/']
14,['[大陆][2022][长津湖之水门桥][The.Battle.At.Lake.Changjin.II.2022.WEB-DL.1080p.H264.AAC-WEB][吴京 / 易烊千玺 / 朱亚文 ][动作/战争][WEB-DL][1080P][无需字幕]'],['/torrents/610855/']
15,['[大陆][2022][长津湖之水门桥/水门桥/长津湖2/三炸水门桥/长津湖(下)][The.Battle.At.Lake.Changjin.II.2022.1080p.WEB-DL.H264.AAC][吴京/易烊千玺/朱亚文/李晨][剧情/战争][Blu-Ray][1080P][自带中英字幕]'],['/torrents/610851/']
16,['[香港][2007][投名状][Tau ming chong.2007.1080p.x264.AAC.国粤双语.BD中字][李连杰/刘德华/金城武/徐静蕾][剧情/动作/战争][1080P][自带中文字幕]'],['/torrents/610850/']
17,['[2013][斯大林格勒][Stalingrad.2013.1080p.BluRay.x264-ROVERS][彼得?费奥多罗夫/托马斯?克莱舒曼/玛丽亚?斯莫尔尼科娃][动作/战争][Blu-Ray][1080P][附件中文字幕]'],['/torrents/610848/']
18,['[大陆][2022][我要我们在一起][Love.Will.Tear.Us.Apart][剧情][Blu-Ray][1080P][无需字幕]'],['/torrents/610847/']
19,['[大陆][2022][东北告别天团][Goodbye.2022.2160p.WEB-DL.H265.AAC-OurTV][喜剧][WEB-DL][2K][自带中文字幕]'],['/torrents/610844/']
20,['[大陆][2022][熊出没?重返地球][Boonie.Bears.Back.to.Earth.2022.1080p.WEB-DL.AAC.H264-HDSWEB][剧情/喜剧/家庭/动画][WEB-DL][1080P][无需字幕]'],['/torrents/610842/']
21,['[美国][2008][蓝调传奇 ][Cadillac Records][ 艾德里安?布洛迪 / 杰弗里?怀特 / 碧昂丝 / 茅斯?达夫 / 加布里埃尔?尤尼恩][剧情/音乐/传记][1080P][自带中英字幕]'],['/torrents/610645/']
22,['[大陆][2021][雄狮少年][I Am What I Am 2021 2160p WEB-DL AAC H265-HDSWEB][大昕/大雄][剧情/喜剧/动画][WEB-DL][2K][自带中文字幕]'],['/torrents/610640/']
23,['[大陆][2021][误杀2][Fireflies.in.the.Sun.2021.1080p.WEB-DL.H264.DDP5.1.Atmos][肖央/任达华/文咏珊/陈雨锶/宋洋][剧情/犯罪][WEB-DL][1080P][自带中文字幕]'],['/torrents/610636/']
24,['[大陆][2021][爱情神话][Myth.of.Love.2021.1080P.WEB-DL.H265.ACC][徐峥/马伊P/吴越][剧情/喜剧/爱情][WEB-DL][1080P][自带中文字幕]'],['/torrents/610634/']
25,['[大陆][2021][扬名立万][Be.Somebody.2021.WEB-DL.1080p.H264.AAC-MaoZhan][尹正 邓家佳 喻恩泰][剧情/喜剧/悬疑][WEB-DL][1080P][自带中文字幕]'],['/torrents/610633/']
26,['[美国][1957][控方证人/雄才伟略/情妇][Witness.for.the.Prosecution.1957.BluRay.1080p.x265.10bit.MNHD-FRDS][剧情/犯罪/悬疑][Blu-Ray][1080P][自带中英字幕]'],['/torrents/610628/']
27,['[台湾][2020][孤味][Little.Big.Women.2020.Netflix.WEB-DL.1080p.x264.DDP-AREY][剧情/家庭][WEB-DL][1080P][自带中英字幕]'],['/torrents/610617/']
28,['[1999][随风而逝/风带着我来(台)/风再起时(港)/风儿将带着我们飘/风会带着我们走][The.Wind.Will.Carry.Us.1999.JPN.720p.BluRay.AAC2.0.x264-KnK][伊朗/法国][剧情][Blu-Ray][720P][附件中英字幕]'],['/torrents/610615/']
29,['[美国][2021][健听女孩/贝利叶一家 美国版/乐动心旋律(台)/心之旋律/终曲/Children of Deaf Adults][Coda.2021.1080p.ATVP.WEB-DL.DDP5.1.Atmos.HDR.H.265-FLUX][美国/法国][剧情][1080P][自带中英字幕]'],['/torrents/610613/']
30,"['[英国][2019][对不起,我们错过了你/抱歉我们错过你了(台)/对不起,错过你(港)][Sorry.We.Missed.You.2019.BluRay.720p.x264.AC3-CMCT][英国/法国/比利时][剧情][Blu-Ray][720P][自带中英字幕]']",['/torrents/610604/']
31,['[2020][酒精计划/另一回合/酩酊烂醉/醉好的时光(台)/Another Round/Drunk/The Alcohol Project][Druk.AKA.Another.Round.2020.BluRay.720p.x264.AC3-CMCT][丹麦][剧情][720P][自带中文字幕]'],['/torrents/610603/']
32,['[法国][1982][初吻2/第二次接触/Ready for Love II][La.boum.Ⅱ.1980.BluRay.720p.x264.FLAC.2Audios-CMCT][喜剧/爱情][Blu-Ray][720P][自带中文字幕]'],['/torrents/610601/']
33,['[法国][1980][初吻/初恋/第一次接触/IQ半熟时/Ready for Love][La.boum.Ⅰ.1980.BluRay.720p.x264.FLAC.2Audios-CMCT][喜剧/爱情][Blu-Ray][720P][自带中文字幕]'],['/torrents/610600/']
34,['[大陆][2020][乌海][Wu.Hai.2021.1080p.WEB-DL.H264.AAC-PTerWEB][剧情/爱情/悬疑][WEB-DL][1080P][自带中英字幕]'],['/torrents/610599/']
35,['[美国][2021][魔法满屋/奇幻魔法屋(港)/音乐的魔法][Encanto.2021.720p.BluRay.x264-WiKi][斯蒂芬妮?比翠丝/玛丽亚?塞西莉亚?波特罗][奇幻/动画][Blu-Ray][720P][自带中文字幕]'],['/torrents/610595/']
36,['[大陆][2021][古董局中局电影版][Schemes.In.Antiques.2021.WEB-DL.4k.H265.DDP-Enichi][剧情/悬疑][WEB-DL][4K][自带中文字幕]'],['/torrents/610592/']
37,['[美国][2021][永恒族][Eternals.2021.1080p.WEBRip.DDP5.1.x264-NOGRP][嘉玛?陈 / 理查德?麦登 / 基特?哈灵顿 / 安吉丽娜?朱莉][动作/科幻/奇幻/冒险][WEBRip][1080P][自带中英字幕]'],['/torrents/610584/']
38,['[大陆][2021][不速来客][Knock.Knock.2021.1080p.WEB-DL.H264.DDP5.1][范伟 / 窦骁 / 张颂文 / 朱珠 / 梁超 / 胡明 / 高尚 / 蔡鹭][喜剧/悬疑][WEB-DL][1080P][无需字幕]'],['/torrents/610578/']
39,['[大陆][2021][铁道英雄][Railway.Heroes.2021.2160p.WEB-DL.H265.DDP5.1][张涵予/范伟/魏晨/周也/俞灏明/森博之/谭凯/杨皓宇/张帆/刘显达 ][剧情/动作/战争][WEB-DL][2K][无需字幕]'],['/torrents/610577/']
40,['[大陆][2021][长津湖][Battle.of.Chosin.Reservior.2021.1080p.WEB-DL.H264.DDP2.0-OurTV][吴京/易烊千玺/段奕宏/朱亚文][剧情/传记/战争][WEB-DL][1080P][自带中英字幕]'],['/torrents/610575/']
41,['[美国][2021][毒液2(机翻)][Venom.Let.There.Be.Carnage.2021.1080p.WEBRip-YZJ][汤姆?哈迪/伍迪?哈里森/米歇尔?威廉姆斯/娜奥米?哈里斯][动作/惊悚/科幻][WEBRip][1080P][自带中文字幕]'],['/torrents/610414/']
42,['[美国][2021][尚气与十环传奇][Shang-Chi and the Legend of the Ten Rings][刘思慕/梁朝伟/奥卡菲娜/张梦儿/陈法拉][动作/科幻/冒险][1080P][自带中英字幕]'],['/torrents/610413/']
43,['[美国][2021][尚气与十环传奇/ 尚气与十环帮传奇(港)][Shang-Chi and the Legend of the Ten Rings 2021 720p BluRay x264-WiKi][梁朝伟/ 刘思慕/ 杨紫琼/ 陈法拉/ 张梦儿  *漫威首部以亚裔超级英雄为主的动作科幻*][剧情/动作/科幻/冒险][Blu-Ray][720P][附件中英字幕]'],['/torrents/610412/']
44,['[美国][2021][尚气与十环传奇][Shang-Chi.And.The.Legend.Of.The.Ten.Rings.2021.1080p.BluRay.H264.AAC-RARBG][刘思慕 / 梁朝伟 / 奥卡菲娜 / 张梦儿][动作/科幻/冒险][WEBRip][1080P][附件英文字幕]'],['/torrents/610410/']
45,['[美国][2021][007:无暇赴死][No.Time.To.Die.2021.1080p.WEBRip.x264-RARBG][丹尼尔?克雷格 / 拉米?马雷克 / 蕾雅?赛杜 / 安娜?德?阿玛斯][剧情/动作/冒险][WEBRip][1080P][附件中英字幕]'],['/torrents/610409/']
46,['[美国][2021][007:无暇赴死][No.Time.To.Die.2021.720p.AMZN.WEB-DL.DDP5.1.Atmos.H.264-NOGRP][丹尼尔?克雷格 / 拉米?马雷克 / 蕾雅?赛杜 / 安娜?德?阿玛斯][剧情/动作/冒险][WEB-DL][720P][附件中英字幕]'],['/torrents/610408/']
47,['[英国][2021][007:无暇赴死][No.Time.to.Die.2021.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG][动作/惊悚/冒险][1080P][自带英文字幕]'],['/torrents/610407/']
48,['[美国][2021][芬奇][Finch.2021.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H.264-TEPES][汤姆?汉克斯 / 卡赖伯?兰德里?琼斯 / 洛拉?玛汀内斯-康宁安][剧情/奇幻][WEB-DL][1080P][自带中文字幕]'],['/torrents/610400/']
49,['[美国][2021][沙丘][Dune.2021.2160p.HMAX.WEB-DL.HDR.HEVC.Atmos.DDP5.1-HDH][剧情/科幻/冒险][WEB-DL][4K][暂无字幕]'],['/torrents/610396/']
50,['[大陆][2021][峰爆][Cloudy.Mountain.2021.1080p.WEB-DL.H.264.AAC-OurTV][剧情/灾难][WEB-DL][1080P][自带中文字幕]'],['/torrents/610384/']
