序号,名称,网址后缀
1,['[合集][华语][2022-04-26][福禄寿FloruitShow][至今(不含live)][流行][FLAC][无损]'],['/torrents/610841/']
2,['[欧美][BBC][无损版福尔摩斯广播剧-长篇4部][FLAC]'],['/torrents/610810/']
3,['[合集][Various Artists][20世纪伟大钢琴家系列 20CD Great Pianists of the 20th Century 200CD][纯音乐][FLAC][无损]'],['/torrents/610739/']
4,['[合集][欧美][Michael Jackson 迈克尔?杰克逊][The Ultimate MV Collection of Michael Jackson 4 DVD(ISO) | 终极MV收藏套装][流行][VOB]'],['/torrents/610738/']
5,['[演唱会][华语][Various Artists][宝丽金Forever Live演唱会][流行][MKV][1080P]'],['/torrents/610737/']
6,['[合集][华语][Various Artists][试音王 5CD][流行][FLAC][无损]'],['/torrents/610734/']
7,['[精选集][华语][Various Artists][抖音超好听流行音乐五星珍藏版 10CD][流行][FLAC][无损]'],['/torrents/610731/']
8,['[精选集][华语][2016][Various Artists][黄金十年老歌精选 3CD - WAV整 ][流行][WAV][无损]'],['/torrents/610728/']
9,['[专辑][华语][2020-08-21][Various Artists][宝丽金50周年金榜题名 国语篇][流行][FLAC][无损]'],['/torrents/610665/']
10,['[LiveCD][欧美][2008-08-08][Wolfgang Amadeus Mozart][金色大厅中的莫扎特][古典][FLAC][无损]'],['/torrents/610580/']
11,['[精选集][欧美][2000-02-17][理查德?克莱德曼][钢琴曲精选][古典][FLAC][无损]'],['/torrents/610579/']
12,['[专辑][华语][2021-06-23][李健][无时无刻][流行][FLAC][无损]'],['/torrents/610557/']
13,['[演唱会][欧美][梅拉克 阿莱维][歌剧 比才:卡门/Bizet.Carmen.2008.BDRip.1080p.x264.DTS.Audio-CHD][古典][MKV][无损]'],['/torrents/610533/']
14,['[合集][华语][2006][东东枪][六里庄人民广播电台]'],['/torrents/610459/']
15,['[原声][华语][2021-07-26][Various Artists][白蛇 2 :青蛇劫起 电影原声带][FLAC][无损]'],['/torrents/610317/']
16,['[2021-08-25][various artist][无]'],['/torrents/610233/']
17,['[精选集][华语][群星][超好听流行音乐《五星珍藏版》 黑胶10CD][流行][WAV][无损]'],['/torrents/609624/']
18,['[专辑][华语][2020-12-22][万能青年旅店][冀西南林路行][摇滚][FLAC][无损]'],['/torrents/609573/']
19,['[单曲][华语][2019-12-04][华晨宇][好想爱这个世界啊][流行][FLAC][无损]'],['/torrents/609480/']
20,['[合集][华语][五条人][《县城记》/《一些风景》/《广东姑娘》/《梦幻丽莎发廊》][WAV][无损]'],['/torrents/609409/']
21,['[专辑][华语][蔡依林][UGLY BEAUTY][流行][FLAC][无损]'],['/torrents/607031/']
22,['[专辑][欧美][Two Steps From Hell][Battlecry(战嗥)][纯音乐][FLAC][无损]'],['/torrents/606555/']
23,['[合集][欧美][Various Artists][多巴胺分泌音2小r 心情c改善 琴BGM ][纯音乐][MKV]'],['/torrents/606305/']
24,"[""[专辑][华语][2016-06-24][周杰伦][周杰伦的床边故事/Jay Chou's Bedtime Stories][流行][APE][无损]""]",['/torrents/605341/']
25,['[杂集][华语][2018-05-23][Various Artists][车载音乐国语经典][流行][MP3][320kbps]'],['/torrents/603836/']
26,['[合集][华语][2009-09-24][Various Artists][群星 - 中国歌典 1950年-1999年经典歌曲 159首 10CD][流行][WAV][无损]'],['/torrents/603828/']
27,['[专辑][华语][2017-12-22][刘惜君][如我][流行][MP3][320kbps]'],['/torrents/602789/']
28,['[合集][日本][1991-20-08][坂井泉水][Zard-Album Collection][流行][FLAC][无损]'],['/torrents/602390/']
29,['[演唱会][欧美][The Cranberries][小红莓:巴黎肤色下演唱会/加百利巴黎肤色下演唱会/The Cranberries: Beneath the Skin - Live in Paris][摇滚][MKV]'],['/torrents/601828/']
30,['[原声][欧美][Various Artists][原声大碟 - 寻梦环游记Coco Original Motion Picture Soundtrack - 2017 - FLAC整轨][FLAC][无损]'],['/torrents/601608/']
