序号,名称,网址后缀
1,['[足球][欧冠][2022-04-07][21-22赛季欧冠1/4决赛首回合 切尔西VS皇家马德里][English][1080P]'],['/torrents/610785/']
2,['[足球][欧冠][2022-03-10][21-22赛季欧冠1/8决赛次回合 皇家马德里VS巴黎圣日耳曼][English][MKV]'],['/torrents/610718/']
3,['[足球][欧冠][2022-03-09][21-22赛季欧冠1/8决赛次回合 利物浦VS国际米兰][English][MKV]'],['/torrents/610700/']
4,['[足球][欧冠][2022-02-24][21-22赛季欧冠1/8决赛首回合赛事精华][English][1080P]'],['/torrents/610678/']
5,['[足球][欧冠][2022-02-24][21-22赛季欧冠1/8决赛首回合 马德里竞技VS曼联][English][1080P]'],['/torrents/610677/']
6,['[足球][欧冠][2022-02-23][21-22赛季欧冠1/8决赛首回合 切尔西VS里尔][English][MKV]'],['/torrents/610676/']
7,['[足球][欧冠][2022-02-23][21-22赛季欧冠1/8决赛首回合 比利亚雷亚尔 VS 尤文图斯][English][MKV]'],['/torrents/610675/']
8,['[篮球][NBA][2022-02-21][21-22赛季NBA全明星正赛 杜兰特队VS詹姆斯队 含75大球星颁奖典礼和科比?布莱恩特杯颁奖][English][1080P]'],['/torrents/610674/']
9,['[篮球][2016-02-14][20160214 全明星周末技巧三分扣篮大赛][国语][1080P]'],['/torrents/610673/']
10,['[篮球][NBA][2022-02-20][21-22赛季NBA全明星周末技巧三分扣篮大赛][English][MKV]'],['/torrents/610671/']
11,['[足球][欧冠][2022-02-16][21-22赛季欧冠1/8决赛首回合 巴黎圣日尔曼 VS 皇家马德里][English][1080P]'],['/torrents/610664/']
12,['[篮球][奥运会][2020-02-09][2020奥运会女篮资格赛 中国vs英韩国][CCTV5HD][720P]'],['/torrents/608852/']
13,['[篮球][NBA][2016-01-07][NBA最前线评选 吉诺比利生涯50佳球][CCTV5国语][720P]'],['/torrents/608833/']
14,['[世界杯][2019-10-26][2019定向越野世界杯决赛 短距离接力][广东体育/国语/1080P][MP4]'],['/torrents/608257/']
15,['[世界杯][2019-10-26][2019定向越野世界杯决赛 短距离][广东体育/国语/1080P][MP4]'],['/torrents/608256/']
16,['[世界杯][2019-10-26][2019定向越野世界杯决赛 中距离][广东体育/国语/1080P][MP4]'],['/torrents/608255/']
17,['[足球][世界杯][2019-10-10][亚洲预选赛 中国VS关岛][CCTV5 HD/国语/1080P][MP4]'],['/torrents/608158/']
18,['[世界杯][2019-09-18][女排世界杯第4轮 中国VS多米尼加][CCTV5 HD/国语/1080I]'],['/torrents/608073/']
19,['[足球][世界杯][2019-09-10][世界杯亚洲预选赛 马尔代夫VS中国][CCTV5 HD/国语/1080P][MP4]'],['/torrents/608025/']
20,['[足球][2019-08-19][天下足球(利物浦欧冠传记:军临天下)][CCTV5/国语/720P][MKV]'],['/torrents/607898/']
21,['[足球][天下足球][2016-12-05][永不独行][CCTV5 HD/国语][720P]'],['/torrents/592100/']
22,['[足球][2016-11-14][天下足球(K神无双)][国语][720P]'],['/torrents/591077/']
23,['[篮球][NBA][2016-11-03][NBA最前线][国语][720P]'],['/torrents/590774/']
24,['[篮球][NBA][2016-10-20][NBA最前线][CCTV5/国语][720P]'],['/torrents/589894/']
25,['[篮球][NBA][2016-10-19][2016赛季NBA官方百大扣篮][Youtube/英语][720P]'],['/torrents/589764/']
26,['[足球][2016-10-10][天下足球][邵圣懿 马凡舒/中文][MKV]'],['/torrents/589525/']
27,['[足球][2016-09-26][天下足球(男人四十 致敬76黄金一代)][CCTV5 HD/国语/720P][MKV]'],['/torrents/588821/']
28,['[足球][天下足球][2016-09-05][天下足球(捍卫者)][国语][720P]'],['/torrents/588000/']
29,['[足球][2016-09-01][2018世界杯预选赛 韩国 VS 中国][CCTV5 HD/国语/720P][MKV]'],['/torrents/587791/']
30,['[奥运会][2016-08-21][里约奥运会.女排决赛.中国vs塞尔维亚(含颁奖).CCTV5.Rio.2016.Volleyball.Womens.Finals.CHN.vs.SRB.20160821.1080i.HDTV.H264][国语][1080P]'],['/torrents/587359/']
31,['[奥运会][2016-08-19][里约奥运会 女排半决赛 中国VS荷兰][国语]'],['/torrents/587285/']
32,['[奥运会][2016-08-17][8月17日 里约奥运会 巴西女排VS中国女排][中文][1080P]'],['/torrents/587239/']
33,['[奥运会][2016-08-06][2016年里约奥运会开幕式.CCTV5.Rio.2016.Summer.Olympic.Games-Opening.Ceremony.20160806.1080i.HDTV.H264.Dual.Aud][CCTV5/白岩松][1080P]'],['/torrents/586866/']
34,['[奥运会][2016-08-06][2016里约奥运会开幕式.CCTV5.Rio.2016.Summer.Olympic.Games-Opening.Ceremony.20160806.1080i.HDTV.H264-BYRTV][CCTV5/国语][1080P]'],['/torrents/586849/']
35,['[足球][欧洲杯][2016-07-08][欧洲杯半决赛 法国vs德国][CCTV5 HD/国语/720P][MKV]'],['/torrents/585613/']
36,['[足球][欧洲杯][2016-07-03][1/4决赛 德国vs意大利 ][CCTV5 HD/国语/720P][MKV]'],['/torrents/585331/']
37,['[足球][欧洲杯][2016-07-01][1/4决赛 葡萄牙VS波兰][CCTV5 HD/国语/720P][MKV]'],['/torrents/585245/']
38,['[足球][欧洲杯][2016-06-27][欧洲杯1/8决赛 德国VS斯洛伐克][CCTV5 HD/国语/720P][MKV]'],['/torrents/585071/']
39,['[足球][2016-06-22][百年美洲杯半决赛 美国vs阿根廷][BEIN/英语/720P][MP4]'],['/torrents/584854/']
40,['[足球][欧洲杯][2016-06-20][欧洲杯 罗马尼亚VS阿尔巴尼亚][CCTV5+ HD/国语/720P][MKV]'],['/torrents/584781/']
41,['[网球][温网][2015-06-30][2015温布尔登网球锦标赛男单第一轮 穆雷VS库库什金][ATP.2015.Wimbledon.R1.Murray.vs.Kukushkin.ENG.1080p][1080P]'],['/torrents/565236/']
