序号,名称,网址后缀
1,['[开放课程][于斯课堂拜厄钢琴基本教程][视频][课程全115集/高清1080p]'],['/torrents/610846/']
2,"['[记忆大师教你提升记忆力-卢菲菲][视频][共12章,含视频和电子书,市面售价3480]']",['/torrents/610809/']
3,['[计算机][Photoshop tutorial collection][PS教程]'],['/torrents/610791/']
4,['[计算机][Private collection of three office software][Office三大办公软件word  Excel  ppt]'],['/torrents/610790/']
5,['[自然科学][2021黑马人工智能全套公开课][视频][包含机器学习深度学习opencv ai医生 智慧交通 图像处理 python-美女讲师版]'],['/torrents/610724/']
6,['[自然科学][深度学习计算机视觉 OpenCV图像处理Python实现][视频][包括Python基础/深度学习/计算机视觉基础|转自北邮人]'],['/torrents/610723/']
7,['[自然科学][深度学习之神经网络(CNN.RNN.GAN) 算法原理+实战][视频][网络收集]'],['/torrents/610722/']
8,['[自然科学][机器学习+深度学习[10套课程]][视频][网络收集]'],['/torrents/610721/']
9,['[自然科学][深度学习Pytorch实战][视频][网络收集]'],['/torrents/610720/']
10,['[自然科学][深度学习及其应用视频教程][视频][视频教程和对应的资料文档]'],['/torrents/610719/']
11,['[自然科学][2020年暑期高校人工智能师资培训][视频][含课件资料]'],['/torrents/610710/']
12,['[自然科学][机器学习与深度学习集训营_陆家嘴_邹博][视频][Machine Learning And Deep Learning Camp]'],['/torrents/610707/']
13,['[自然科学][机器学习高阶训练营2020-贪心科技-转自M-TEAM][视频][内容可以查看资源列表]'],['/torrents/610701/']
14,['[人文社会][温铁军[新中国的十次周期性经济危机]2017][视频][温铁军2017年在香港大学的演讲-mp4]'],['/torrents/610695/']
15,['[New Oriental High School Stduy Data Siterip 720P WEB-DL H264 AAC][视频][新东方高中九科全套学习视频 倾力推荐 教育资源大包系列]'],['/torrents/610683/']
16,['[考研][2022腿姐陆寓丰政治(含腿姐技巧+押题)考试相关MP4/PDF][视频][2022腿姐政治]'],['/torrents/610481/']
17,"['[自然科学][开源文献管理软件 Zotero 视频教程与课件][视频][跨平台文献管理软件,从入门到精通]']",['/torrents/610474/']
18,['[自然科学][开源文献管理软件 Mendeley 视频教程与课件][视频][一套视频免去苦苦百度找解决办法]'],['/torrents/610473/']
19,"['[课件][Endnote视频教程与课件][视频][详细讲解,快速上手]']",['/torrents/610472/']
20,['[计算机][黑马python就业班2020新版][视频][2020]'],['/torrents/610338/']
21,['[外语][雅思刘洪波阅读][文档][雅思刘洪波老师的阅读资料]'],['/torrents/608527/']
22,['[理工类][清华大学土力学和高等土力学PPT][文档][PPT]'],['/torrents/608518/']
23,['[计算机][6天学会QT 视频教程及QT5.11.1安装包安装方法][视频][含代码]'],['/torrents/608500/']
24,['[外语][The Economist Collection 2018 MP3 MOBI EPUB PDF][经济学人2018年合集]'],['/torrents/608430/']
25,['[理工类][清华大学《大学物理》习题库试题及答案][文档][转自北邮人]'],['/torrents/608417/']
26,['[理工类][大学物理实验视频][视频][转自北邮人]'],['/torrents/608416/']
27,['[计算机][Python_Books][文档][Python书籍大杂烩]'],['/torrents/608351/']
28,"['[外语][战神牌雅思口语课程合集][视频][录播+直播+课表,原价2200]']",['/torrents/608273/']
29,['[计算机][《好PPT坏PPT--锐普的100个PPT秘诀》][文档][《好PPT坏PPT--锐普的100个PPT秘诀》附带资料]'],['/torrents/608231/']
30,['[理工类][全国部分地区大学生物理竞赛试题集][文档][PDF第1届 - 第33届]'],['/torrents/608220/']
31,['[数学建模经典算法][数模资料]'],['/torrents/607971/']
